time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8
1735117846.720395,3.380,3.366,3.366,3.366,3.366,3.366,3.367,3.362,26.810,26.9,26.9,27.1,27.3,33.1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117847.7218459,3.379,3.365,3.365,3.365,3.366,3.366,3.366,3.362,26.820,26.9,26.9,27.1,27.2,31.2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117848.731772,3.379,3.366,3.365,3.366,3.366,3.365,3.366,3.362,26.820,27.0,26.9,27.1,27.2,31.1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117849.7354372,3.378,3.365,3.365,3.365,3.366,3.365,3.366,3.362,26.810,26.9,27.0,27.2,27.2,31.3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117850.747036,3.379,3.366,3.365,3.366,3.366,3.366,3.366,3.362,26.820,27.0,27.0,27.2,27.2,30.7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117851.7522266,3.379,3.366,3.365,3.366,3.366,3.366,3.366,3.362,26.810,27.0,26.9,27.2,27.3,31.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117852.7633505,3.378,3.365,3.365,3.366,3.366,3.366,3.366,3.362,26.810,26.9,27.0,27.2,27.3,31.4,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117853.7712777,3.379,3.366,3.366,3.366,3.367,3.366,3.366,3.362,26.810,27.0,26.9,27.2,27.3,30.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117854.787131,3.377,3.365,3.364,3.366,3.366,3.366,3.366,3.362,26.820,26.9,27.0,27.2,27.3,31.3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117855.7986944,3.379,3.366,3.366,3.366,3.366,3.366,3.366,3.361,26.820,26.9,27.0,27.1,27.3,31.3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117856.8032987,3.380,3.366,3.366,3.366,3.366,3.366,3.367,3.361,26.820,26.9,26.9,27.2,27.3,30.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117857.8188114,3.378,3.365,3.365,3.366,3.366,3.366,3.367,3.361,26.820,27.0,27.0,27.2,27.3,30.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117858.8290203,3.379,3.366,3.366,3.366,3.367,3.366,3.367,3.363,26.820,26.9,27.0,27.2,27.3,31.8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117859.8368404,3.380,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.830,27.0,27.0,27.1,27.3,30.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117860.8443007,3.379,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.820,26.9,27.0,27.2,27.3,31.3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117861.8498614,3.379,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.810,27.0,27.0,27.2,27.3,30.3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117862.8561392,3.378,3.366,3.365,3.366,3.367,3.366,3.367,3.362,26.820,27.0,27.0,27.1,27.3,30.1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117863.8696146,3.379,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.820,27.0,26.9,27.1,27.3,30.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117864.882337,3.379,3.366,3.366,3.367,3.367,3.366,3.367,3.362,26.820,27.0,26.9,27.1,27.3,30.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117865.8962374,3.378,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.810,27.0,26.9,27.1,27.3,30.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117866.9024413,3.379,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.810,27.0,26.9,27.1,27.3,28.4,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117867.911276,3.378,3.366,3.366,3.366,3.366,3.366,3.367,3.362,26.820,27.0,26.9,27.2,27.3,30.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117868.9160178,3.378,3.366,3.366,3.366,3.367,3.367,3.367,3.363,26.830,27.0,27.0,27.1,27.3,31.3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117869.9173434,3.380,3.367,3.366,3.367,3.367,3.366,3.367,3.362,26.820,27.0,26.9,27.1,27.3,30.2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117870.928233,3.379,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.820,27.0,27.0,27.1,27.2,29.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117871.9333582,3.378,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.820,27.0,27.0,27.2,27.3,28.4,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117872.9392745,3.378,3.365,3.366,3.366,3.367,3.366,3.367,3.362,26.810,27.0,27.0,27.2,27.3,29.3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117873.9512744,3.378,3.366,3.366,3.366,3.367,3.367,3.367,3.362,26.820,27.0,27.0,27.1,27.3,30.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117874.9584272,3.379,3.367,3.367,3.366,3.367,3.367,3.368,3.363,26.820,26.9,27.0,27.2,27.2,30.1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117875.9707866,3.378,3.366,3.366,3.366,3.367,3.366,3.367,3.362,26.810,27.0,27.0,27.2,27.2,29.4,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117876.978285,3.378,3.366,3.366,3.366,3.367,3.367,3.367,3.362,26.820,26.9,27.0,27.2,27.2,28.6,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117877.9894087,3.378,3.366,3.366,3.366,3.367,3.366,3.367,3.363,26.810,26.9,27.0,27.2,27.3,29.2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117878.998367,3.378,3.366,3.366,3.367,3.367,3.366,3.367,3.363,26.820,27.0,26.9,27.1,27.3,28.5,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117880.0085206,3.379,3.366,3.366,3.366,3.367,3.366,3.366,3.362,26.820,26.9,26.9,27.2,27.3,28.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117881.016656,3.379,3.367,3.367,3.367,3.367,3.366,3.368,3.363,26.820,27.0,26.9,27.1,27.3,29.9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1735117882.0253243,3.379,3.366,3.366,3.367,3.367,3.366,3.367,3.363,26.830,26.9,27.0,27.1,27.2,29.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
