time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8
1735887805.8215585,2.998,3.003,2.999,2.977,2.966,3.000,2.963,2.991,23.790,21.4,21.4,21.6,21.7,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,400,500,500,500,500,400,500,500
1735887806.823297,2.998,3.003,2.999,2.978,2.966,3.001,2.963,2.992,23.790,21.4,21.5,21.6,21.7,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,700,700,700,700,600,700,700,700
1735887807.832289,2.998,3.004,2.999,2.978,2.967,3.001,2.963,2.992,23.790,21.4,21.5,21.6,21.7,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,700,700,700,700,600,700,700,700
1735887808.850569,2.998,3.004,2.999,2.978,2.967,3.001,2.963,2.992,23.790,21.5,21.4,21.6,21.7,10.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,700,700,700,700,600,700,700,700
1735887809.8521879,2.998,3.004,3.000,2.978,2.966,3.001,2.964,2.993,23.800,21.5,21.4,21.6,21.7,10.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,700,700,700,700,600,700,700,700
1735887810.85855,2.999,3.004,3.000,2.979,2.967,3.002,2.964,2.993,23.790,21.5,21.4,21.6,21.7,10.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,700,700,700,700,600,700,700,700
1735887811.8715234,2.999,3.004,3.000,2.979,2.967,3.002,2.964,2.993,23.790,21.6,21.4,21.6,21.7,10.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,700,700,700,700,600,700,700,700
1735887812.8745606,2.999,3.004,3.000,2.979,2.968,3.002,2.964,2.993,23.800,21.5,21.4,21.6,21.7,10.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,700,700,700,700,600,700,700,700
1735887813.8865385,2.999,3.005,3.001,2.979,2.968,3.002,2.965,2.993,23.800,21.5,21.4,21.6,21.7,10.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,700,700,700,700,600,700,700,700
1735887814.9025161,2.999,3.005,3.001,2.980,2.969,3.002,2.965,2.994,23.810,21.5,21.4,21.6,21.7,10.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,700,700,700,700,600,700,700,700
