time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8
1735888680.8250978,3.291,3.299,3.296,3.296,3.294,3.297,3.295,3.291,26.240,21.6,21.7,21.7,21.8,140.0,6.57,6.63,6.63,6.63,6.64,6.64,6.64,6.64,6.64,457,486,471,478,478,471,486,457
1735888681.826036,3.292,3.300,3.297,3.296,3.295,3.298,3.296,3.293,26.240,21.6,21.6,21.7,21.8,140.0,6.60,6.65,6.65,6.65,6.64,6.64,6.64,6.64,6.64,457,486,471,478,478,471,486,457
1735888682.826842,3.293,3.301,3.298,3.297,3.295,3.298,3.297,3.294,26.250,21.6,21.6,21.7,21.8,140.0,6.60,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,457,486,471,478,478,471,486,457
1735888683.842275,3.240,3.243,3.242,3.240,3.239,3.242,3.238,3.239,25.820,21.6,21.6,21.7,21.8,140.0,6.61,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,457,486,471,478,478,471,486,457
1735888684.8466454,3.236,3.239,3.242,3.240,3.239,3.242,3.238,3.239,25.820,21.6,21.6,21.7,21.8,0.0,6.61,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,457,486,471,478,478,471,486,457
1735888685.8506052,3.236,3.239,3.239,3.237,3.236,3.239,3.235,3.236,25.780,21.7,21.6,21.7,21.8,0.0,6.61,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,457,486,471,478,478,471,486,457
1735888686.8599653,3.234,3.238,3.237,3.235,3.234,3.237,3.234,3.234,25.770,21.6,21.6,21.7,21.8,0.0,6.61,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,457,486,471,478,478,471,486,457
1735888687.861884,3.233,3.236,3.236,3.234,3.233,3.236,3.233,3.233,25.750,21.6,21.6,21.7,21.8,0.0,6.61,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,457,486,471,478,478,471,486,457
1735888688.868175,3.233,3.236,3.236,3.234,3.233,3.236,3.233,3.233,25.750,21.6,21.6,21.7,21.8,0.0,6.61,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,457,486,471,478,478,471,486,457
1735888689.8734744,3.232,3.235,3.235,3.233,3.232,3.235,3.231,3.232,25.750,21.7,21.6,21.7,21.9,0.0,6.61,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,457,486,471,478,478,471,486,457
1735888690.8902118,3.231,3.234,3.234,3.231,3.230,3.234,3.231,3.231,25.740,21.7,21.6,21.7,21.8,0.0,6.61,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,457,486,471,478,478,471,486,457
