time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,
1736822124,3.019,3.022,3.016,2.996,2.981,3.017,2.976,3.012,23.93,30.8,30.8,31.4,31.5,0,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,55,55,55,55,55,55,55,55
1736822125,3.019,3.022,3.017,2.997,2.981,3.017,2.976,3.012,23.93,30.8,30.9,31.4,31.5,0,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,55,55,55,55,55,55,55,55
1736822127,3.019,3.022,3.018,2.999,2.984,3.02,2.979,3.015,23.94,30.8,30.9,31.4,31.5,0,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,55,55,55,55,55,55,55,55
1736822128,3.019,3.022,3.018,2.999,2.984,3.02,2.979,3.015,23.94,31,31,32.3,31.8,10,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,55,55,55,55,55,55,55,55
1736822129,3.022,3.026,3.02,3,2.985,3.02,2.979,3.015,23.95,30.8,30.8,31.4,31.5,10,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,55,55,55,55,55,55,55,55
1736822130,3.022,3.026,3.02,3,2.984,3.021,2.979,3.016,23.96,30.8,30.8,31.4,31.5,10,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,0,0,0,0,0,0,0,0
1736822131,3.022,3.026,3.02,3,2.984,3.021,2.979,3.016,23.96,30.8,30.8,31.5,31.5,10,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,0,0,0,0,0,0,0,0
1736822132,3.022,3.026,3.02,3,2.985,3.021,2.98,3.016,23.97,30.8,30.8,31.4,31.5,10,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,0,0,0,0,0,0,333,333
1736822133,3.023,3.026,3.02,3.001,2.985,3.021,2.98,3.016,23.96,30.8,30.8,31.4,31.5,10,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,0,0,0,333,0,333,333,333
1736822134,3.023,3.026,3.02,3.001,2.985,3.021,2.98,3.016,23.96,30.9,31.3,31.6,31.8,10,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,0,0,0,333,0,333,333,333
1736822135,3.029,3.032,3.026,3.006,2.991,3.027,2.986,3.022,24.01,30.8,30.8,31.5,31.5,30,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,0,0,0,0,333,0,333,333,333
1736822136,3.029,3.033,3.027,3.007,2.992,3.028,2.987,3.023,24.01,30.8,30.8,31.5,31.5,30,0,0,0,0,0,0,0,0,0,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,1400,1200,1200,1200,1200,1200,1200,1400,1400
1736822137,3.029,3.033,3.027,3.007,2.992,3.028,2.987,3.023,24.01,30.8,30.8,31.4,31.5,30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,1400,1200,1200,1200,1200,1200,1200,1400,1400
1736822138,3.029,3.034,3.028,3.008,2.993,3.029,2.988,3.023,24.02,30.8,30.8,31.4,31.5,30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,1400,1200,1200,1200,1200,1200,222,0,1400
1736822139,3.033,3.037,3.031,3.011,2.996,3.032,2.991,3.026,24.05,30.8,30.8,31.4,31.5,30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,222,222,111,111,222,222,222,0,222
1736822140,3.033,3.037,3.031,3.011,2.996,3.032,2.991,3.026,24.05,30.8,30.8,31.4,31.5,40,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,222,222,111,111,222,222,222,0,222
1736822141,3.034,3.038,3.032,3.012,2.997,3.033,2.992,3.027,24.05,30.8,30.8,31.4,31.5,40,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,222,222,111,111,222,222,222,0,222
1736822142,3.034,3.038,3.032,3.013,2.997,3.033,2.993,3.028,24.07,30.8,30.8,31.4,31.5,40,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,347,347,347,347,347,347,347,347,347
1736822143,3.046,3.051,3.044,3.025,2.997,3.033,2.993,3.028,24.07,30.8,30.8,31.4,31.5,40,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,347,347,347,347,347,347,347,347,347
1736822144,3.046,3.051,3.044,3.025,3.01,3.045,3.005,3.04,24.15,30.8,30.8,31.4,31.5,80,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,347,347,347,347,347,347,347,347,347
1736822145,3.048,3.053,3.047,3.027,3.012,3.047,3.008,3.042,24.17,30.8,30.8,31.4,31.5,80,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,687,812,812,812,812,750,750,812,812
1736822146,3.048,3.053,3.047,3.027,3.012,3.047,3.008,3.042,24.17,30.8,30.8,31.4,31.5,80,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,687,812,812,812,812,750,750,812,812
1736822147,3.05,3.054,3.048,3.029,3.014,3.049,3.01,3.044,24.2,30.8,30.8,31.4,31.5,80,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,687,812,812,812,812,750,750,812,812
1736822148,3.051,3.055,3.054,3.035,3.021,3.065,3.021,3.055,24.28,30.8,30.8,31.5,31.5,80,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,83,83,83,83,125,166,125,83,166
1736822149,3.051,3.055,3.054,3.035,3.021,3.065,3.021,3.055,24.28,30.8,30.8,31.5,31.6,140,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.74,0.54,0.56,0.62,0.6,0.62,0.56,0.6,83,83,83,83,125,166,125,83,166
