time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,CB_bits,controlBits
1737338587.6504436,3.328,3.331,3.331,3.331,3.332,3.332,3.332,3.329,26.530,19.2,19.2,19.4,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338588.6561968,3.329,3.331,3.331,3.331,3.332,3.332,3.332,3.329,26.530,19.2,19.2,19.4,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338589.668337,3.329,3.332,3.332,3.332,3.332,3.332,3.332,3.330,26.540,19.2,19.3,19.4,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338590.6824608,3.329,3.332,3.331,3.332,3.332,3.332,3.332,3.329,26.530,19.2,19.3,19.4,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338591.6864944,3.329,3.332,3.331,3.332,3.332,3.332,3.332,3.329,26.530,19.2,19.2,19.4,19.6,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338592.7033973,3.329,3.332,3.332,3.332,3.332,3.332,3.332,3.330,26.530,19.2,19.2,19.4,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338593.7133238,3.328,3.331,3.331,3.332,3.332,3.332,3.332,3.330,26.530,19.2,19.2,19.4,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338594.7205236,3.328,3.331,3.331,3.332,3.332,3.332,3.332,3.329,26.540,19.2,19.2,19.4,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338595.7227561,3.329,3.332,3.332,3.331,3.332,3.332,3.332,3.329,26.530,19.2,19.2,19.4,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338596.7318037,3.329,3.332,3.332,3.331,3.332,3.332,3.332,3.329,26.530,19.2,19.2,19.4,19.6,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338597.7366145,3.329,3.331,3.332,3.332,3.332,3.332,3.332,3.329,26.530,19.2,19.3,19.4,19.6,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338598.7446258,3.329,3.331,3.332,3.332,3.332,3.332,3.332,3.329,26.530,19.2,19.3,19.4,19.6,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338599.7518234,3.329,3.331,3.332,3.332,3.332,3.332,3.332,3.329,26.530,19.3,19.2,19.5,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338600.767502,3.329,3.332,3.332,3.331,3.332,3.332,3.332,3.330,26.530,19.2,19.2,19.5,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
1737338601.7774782,3.329,3.332,3.332,3.331,3.332,3.332,3.332,3.330,26.530,19.2,19.2,19.5,19.5,0.0,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,63.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
