time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,CB_bits,controlBits
1737344943.405159,3.467,3.463,3.466,3.467,3.467,3.466,3.468,3.460,27.610,21.3,21.2,21.6,21.7,100.0,71.07,71.08,71.08,71.08,71.08,71.08,71.08,71.08,71.08,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,20.000,0.000,20.000,20.000,20.000,20.000,20.000,20.000,0,0
1737344944.407389,3.467,3.463,3.466,3.466,3.467,3.466,3.469,3.460,27.610,21.2,21.6,21.7,21.7,100.0,71.09,71.09,71.09,71.09,71.09,71.09,71.09,71.09,71.09,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,20.000,0.000,20.000,20.000,20.000,20.000,20.000,20.000,0,0
1737344945.4316275,3.466,3.463,3.466,3.467,3.468,3.466,3.469,3.461,27.600,21.3,21.2,21.7,21.7,100.0,71.09,71.09,71.09,71.09,71.09,71.09,71.09,71.09,71.09,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,40.000,20.000,20.000,20.000,0.000,20.000,20.000,0.000,0,0
1737344946.4479396,3.466,3.463,3.466,3.467,3.468,3.466,3.469,3.461,27.600,21.3,21.2,21.7,21.7,100.0,71.10,71.10,71.10,71.10,71.10,71.10,71.10,71.10,71.10,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,40.000,20.000,20.000,20.000,0.000,20.000,20.000,0.000,0,0
1737344947.453818,3.468,3.464,3.466,3.467,3.468,3.466,3.469,3.461,27.600,21.2,21.2,21.6,21.7,100.0,71.12,71.12,71.12,71.12,71.12,71.12,71.12,71.12,71.10,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,40.000,20.000,20.000,20.000,0.000,20.000,20.000,0.000,0,0
1737344948.4686062,3.468,3.464,3.466,3.468,3.468,3.467,3.469,3.462,27.610,21.2,21.2,21.6,21.7,100.0,71.12,71.12,71.12,71.12,71.12,71.12,71.12,71.12,71.12,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,40.000,20.000,20.000,20.000,0.000,20.000,20.000,0.000,0,0
1737344949.4804227,3.468,3.464,3.466,3.468,3.468,3.467,3.469,3.462,27.610,21.3,21.2,21.7,21.8,100.0,71.13,71.13,71.13,71.13,71.13,71.13,71.13,71.13,71.13,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,0.000,20.000,20.000,20.000,0.000,20.000,20.000,0.000,0,0
1737344950.4853425,3.468,3.464,3.466,3.468,3.469,3.467,3.470,3.462,27.610,21.3,21.3,21.6,21.6,100.0,71.14,71.13,71.13,71.13,71.13,71.13,71.13,71.13,71.13,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,0.000,20.000,0.000,20.000,20.000,0.000,0.000,40.000,0,0
1737344951.4887455,3.469,3.464,3.467,3.468,3.469,3.467,3.470,3.462,27.610,21.3,21.3,21.6,21.6,100.0,71.14,71.14,71.14,71.14,71.14,71.15,71.15,71.15,71.15,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,0.000,20.000,0.000,20.000,20.000,0.000,0.000,40.000,0,0
1737344952.494421,3.469,3.464,3.467,3.468,3.469,3.467,3.470,3.462,27.610,21.2,21.3,21.7,21.7,100.0,71.16,71.16,71.16,71.16,71.16,71.16,71.16,71.16,71.16,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,0.000,20.000,0.000,20.000,20.000,0.000,0.000,40.000,0,0
1737344953.4963956,3.469,3.465,3.467,3.468,3.469,3.468,3.470,3.462,27.610,21.2,21.3,21.7,21.7,100.0,71.16,71.16,71.16,71.16,71.16,71.16,71.16,71.16,71.16,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,0.000,20.000,0.000,20.000,20.000,0.000,0.000,40.000,0,0
1737344954.5011594,3.469,3.465,3.467,3.468,3.469,3.468,3.470,3.462,27.610,21.3,21.2,21.7,21.7,100.0,71.17,71.17,71.17,71.17,71.17,71.17,71.17,71.17,71.17,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,20.000,20.000,0.000,20.000,20.000,0.000,0.000,40.000,0,0
1737344955.5150464,3.470,3.465,3.468,3.469,3.469,3.468,3.470,3.463,27.620,21.3,21.3,21.7,21.7,100.0,71.19,71.19,71.19,71.19,71.19,71.17,71.17,71.17,71.17,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,20.000,20.000,0.000,20.000,20.000,20.000,20.000,0.000,0,0
1737344956.5273325,3.470,3.465,3.468,3.469,3.469,3.468,3.471,3.463,27.620,21.3,21.3,21.7,21.7,100.0,71.19,71.19,71.19,71.19,71.19,71.19,71.19,71.19,71.19,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,20.000,20.000,0.000,20.000,20.000,20.000,20.000,0.000,0,0
1737344957.542799,3.470,3.465,3.468,3.469,3.469,3.468,3.471,3.463,27.620,21.3,21.2,21.6,21.7,100.0,71.20,71.20,71.20,71.20,71.20,71.20,71.20,71.20,71.20,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,20.000,20.000,0.000,20.000,20.000,20.000,20.000,0.000,0,0
1737344958.5521915,3.470,3.466,3.468,3.469,3.470,3.469,3.470,3.463,27.620,22.1,21.2,21.9,22.2,100.0,71.20,71.20,71.20,71.20,71.20,71.20,71.20,71.20,71.20,0.550,0.600,0.600,0.550,0.550,0.600,0.600,0.600,20.000,20.000,0.000,20.000,20.000,20.000,20.000,0.000,0,0
