time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,CB_bits,controlBits
1737355887.2004406,3.443,3.399,3.412,3.415,3.416,3.425,3.404,3.421,27.210,22.5,22.5,22.5,22.7,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1
1737355888.2079136,3.443,3.399,3.412,3.415,3.416,3.425,3.404,3.420,27.220,22.6,22.5,22.6,22.7,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1
1737355889.2211356,3.443,3.398,3.412,3.414,3.414,3.424,3.403,3.420,27.200,22.5,23.0,23.5,23.7,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1200.000,200.000,600.000,600.000,400.000,800.000,400.000,600.000,0,1
1737355890.2368836,3.443,3.398,3.412,3.414,3.414,3.424,3.403,3.420,27.200,22.5,23.0,23.5,23.7,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1200.000,200.000,600.000,600.000,400.000,800.000,400.000,600.000,0,1
1737355891.2479467,3.441,3.398,3.412,3.414,3.414,3.423,3.402,3.419,27.190,22.5,22.5,22.5,22.7,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1200.000,200.000,600.000,600.000,400.000,800.000,400.000,600.000,0,1
1737355892.262281,3.441,3.398,3.411,3.413,3.414,3.423,3.402,3.419,27.190,22.5,22.5,22.5,22.7,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1200.000,200.000,600.000,600.000,400.000,800.000,400.000,600.000,0,1
1737355893.2785115,3.441,3.398,3.411,3.413,3.414,3.423,3.402,3.419,27.190,22.5,22.5,22.6,22.8,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,600.000,600.000,400.000,800.000,400.000,600.000,0,1
1737355894.2864003,3.440,3.397,3.411,3.413,3.413,3.423,3.402,3.418,27.190,22.5,22.5,22.6,22.8,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,200.000,400.000,200.000,400.000,200.000,200.000,0,1
1737355895.288479,3.439,3.397,3.410,3.413,3.413,3.423,3.402,3.418,27.190,22.5,22.5,22.6,22.8,-10.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,200.000,400.000,200.000,400.000,200.000,200.000,0,1
1737355896.2946982,3.439,3.397,3.410,3.413,3.412,3.422,3.402,3.418,27.190,22.5,22.6,22.7,22.7,-10.0,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,200.000,400.000,200.000,400.000,200.000,200.000,0,1
