time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,CB_bits,controlBits
1737517036.3132403,3.647,3.630,3.498,3.436,3.433,3.626,3.440,3.613,28.170,23.0,23.1,22.3,22.3,0.0,98.19,98.18,98.17,98.16,98.14,98.13,98.12,98.11,99.86,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737517037.3282063,3.646,3.630,3.498,3.436,3.433,3.626,3.440,3.612,28.160,22.3,22.3,22.3,23.0,0.0,98.18,98.16,98.14,98.13,98.12,98.11,98.09,98.08,99.83,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737517038.342482,3.646,3.630,3.497,3.436,3.433,3.625,3.440,3.612,28.150,22.8,22.7,22.7,22.4,0.0,98.13,98.12,98.11,98.09,98.08,98.07,98.06,98.04,99.80,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737517039.3607676,3.645,3.630,3.498,3.436,3.434,3.625,3.440,3.612,28.140,23.1,23.3,22.6,22.3,0.0,98.11,98.09,98.08,98.07,98.06,98.04,98.03,98.02,99.77,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737517040.370048,3.645,3.630,3.497,3.436,3.433,3.624,3.440,3.611,28.210,22.7,22.7,22.4,22.8,0.0,98.09,98.08,98.07,98.06,98.04,98.03,98.02,98.01,99.76,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,10000.000,32805,0
1737517041.3796418,3.645,3.630,3.497,3.436,3.433,3.624,3.440,3.610,28.160,23.0,23.0,22.3,23.0,0.0,98.07,98.06,98.04,98.03,98.02,98.01,98.00,97.98,99.74,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,10000.000,32805,0
1737517042.3940003,3.644,3.630,3.497,3.436,3.433,3.623,3.440,3.609,28.140,23.0,22.3,23.0,23.0,0.0,98.03,98.02,98.01,98.01,98.00,97.98,97.97,97.96,99.71,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,10000.000,32805,0
1737517043.409487,3.644,3.630,3.497,3.436,3.433,3.623,3.440,3.609,28.140,23.5,22.9,22.7,22.6,0.0,98.01,98.00,97.98,97.97,97.96,97.95,97.93,97.92,99.67,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,10000.000,32805,0
1737517044.4127643,3.644,3.630,3.497,3.436,3.433,3.623,3.440,3.608,28.130,22.8,23.1,22.3,22.9,0.0,97.98,97.97,97.96,97.95,97.93,97.92,97.91,97.90,99.65,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,10000.000,32805,0
1737517045.414314,3.643,3.630,3.496,3.436,3.433,3.622,3.440,3.608,28.140,22.8,22.5,22.7,23.5,0.0,97.97,97.96,97.95,97.93,97.92,97.91,97.90,97.88,99.64,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,2500.000,5000.000,0.000,5000.000,32805,0
1737517046.4231846,3.642,3.629,3.496,3.436,3.433,3.620,3.440,3.605,28.130,23.0,23.1,22.3,22.3,0.0,97.95,97.93,97.92,97.91,97.90,97.88,97.87,97.86,99.61,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,2500.000,5000.000,0.000,5000.000,32805,0
1737517047.42775,3.641,3.628,3.495,3.436,3.433,3.617,3.440,3.603,28.120,23.1,22.4,22.3,23.0,0.0,97.91,97.90,97.88,97.88,97.87,97.86,97.85,97.83,99.59,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,2500.000,5000.000,0.000,5000.000,32805,0
1737517048.4380186,3.638,3.624,3.494,3.436,3.433,3.614,3.440,3.599,28.100,22.7,22.7,22.7,22.3,0.0,97.88,97.87,97.86,97.85,97.83,97.82,97.81,97.80,99.55,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,2500.000,5000.000,0.000,5000.000,32805,0
1737517049.441183,3.635,3.621,3.493,3.436,3.433,3.610,3.440,3.595,28.100,22.4,22.3,23.1,23.1,0.0,97.86,97.85,97.83,97.82,97.81,97.80,97.79,97.77,99.53,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,2500.000,5000.000,0.000,5000.000,32805,0
1737517050.443026,3.630,3.614,3.492,3.436,3.433,3.606,3.440,3.591,28.090,22.7,22.7,22.4,22.8,0.0,97.85,97.83,97.82,97.81,97.80,97.79,97.77,97.75,99.50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27500.000,37500.000,7500.000,0.000,0.000,42500.000,0.000,45000.000,32805,0
1737517051.4500377,3.627,3.610,3.491,3.436,3.433,3.598,3.440,3.582,28.050,23.0,23.0,22.3,22.4,0.0,97.82,97.81,97.80,97.79,97.77,97.76,97.75,97.74,99.49,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27500.000,37500.000,7500.000,0.000,0.000,42500.000,0.000,45000.000,32805,0
1737517052.4560924,3.623,3.606,3.491,3.436,3.433,3.592,3.440,3.575,28.030,23.0,22.3,23.0,23.0,0.0,97.79,97.77,97.76,97.76,97.75,97.74,97.72,97.71,99.46,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27500.000,37500.000,7500.000,0.000,0.000,42500.000,0.000,45000.000,32805,0
1737517053.469298,3.619,3.603,3.490,3.436,3.433,3.587,3.440,3.571,28.010,23.5,22.8,23.3,22.7,0.0,97.76,97.75,97.74,97.72,97.71,97.70,97.69,97.67,99.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27500.000,37500.000,7500.000,0.000,0.000,42500.000,0.000,45000.000,32805,0
1737517054.4813554,3.615,3.600,3.490,3.436,3.433,3.581,3.439,3.564,27.980,22.3,23.1,23.1,22.9,0.0,97.74,97.72,97.71,97.70,97.69,97.67,97.66,97.65,99.40,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27500.000,37500.000,7500.000,0.000,0.000,42500.000,0.000,45000.000,32805,0
1737517055.4908597,3.607,3.589,3.488,3.435,3.433,3.572,3.440,3.558,27.970,22.8,22.4,22.8,23.4,0.0,97.72,97.71,97.70,97.69,97.67,97.66,97.65,97.64,99.38,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52500.000,52500.000,7500.000,0.000,0.000,4464.000,0.000,1964.000,32805,0
1737517056.4943445,3.603,3.585,3.488,3.435,3.433,3.570,3.440,3.556,27.980,22.4,22.8,23.4,22.8,0.0,97.70,97.69,97.67,97.66,97.65,97.64,97.62,97.61,99.37,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52500.000,52500.000,7500.000,0.000,0.000,4464.000,0.000,1964.000,32805,0
1737517057.499139,3.599,3.579,3.488,3.435,3.433,3.568,3.440,3.553,27.950,23.0,22.3,22.3,23.0,0.0,97.66,97.65,97.64,97.62,97.61,97.60,97.60,97.59,99.34,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52500.000,52500.000,7500.000,0.000,0.000,4464.000,0.000,1964.000,32805,0
1737517058.5008152,3.593,3.575,3.487,3.435,3.433,3.565,3.440,3.551,27.920,23.0,22.5,22.7,22.3,0.0,97.64,97.62,97.61,97.60,97.59,97.58,97.56,97.55,99.30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52500.000,52500.000,7500.000,0.000,0.000,4464.000,0.000,1964.000,32805,0
1737517059.5065374,3.589,3.573,3.486,3.435,3.433,3.562,3.439,3.548,27.900,22.3,22.5,22.9,22.8,0.0,97.61,97.60,97.59,97.58,97.56,97.55,97.54,97.53,99.28,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52500.000,52500.000,7500.000,0.000,0.000,4464.000,0.000,1964.000,32805,0
1737517060.5168695,3.576,3.568,3.485,3.435,3.433,3.558,3.439,3.543,27.870,22.3,22.7,22.7,23.1,0.0,97.60,97.59,97.58,97.56,97.55,97.54,97.53,97.50,99.25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65000.000,47500.000,5000.000,0.000,0.000,32500.000,2500.000,35000.000,32805,0
1737517061.5248797,3.573,3.566,3.485,3.435,3.433,3.555,3.439,3.540,27.860,22.8,22.8,23.1,22.3,0.0,97.58,97.56,97.55,97.54,97.53,97.51,97.50,97.49,99.24,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65000.000,47500.000,5000.000,0.000,0.000,32500.000,2500.000,35000.000,32805,0
1737517062.537077,3.570,3.564,3.484,3.435,3.433,3.552,3.439,3.537,27.840,22.7,22.5,23.5,23.0,0.0,97.54,97.53,97.51,97.50,97.49,97.48,97.46,97.44,99.22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65000.000,47500.000,5000.000,0.000,0.000,32500.000,2500.000,35000.000,32805,0
1737517063.5405526,3.567,3.562,3.483,3.435,3.433,3.550,3.439,3.533,27.830,23.0,23.0,22.3,23.0,0.0,97.51,97.50,97.49,97.48,97.46,97.45,97.44,97.43,99.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65000.000,47500.000,5000.000,0.000,0.000,32500.000,2500.000,35000.000,32805,0
