time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,CB_bits,controlBits
1737523717.159697,3.644,3.630,3.497,3.435,3.433,3.623,3.440,3.610,28.150,23.5,23.9,23.6,23.7,0.0,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.76,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523718.1612277,3.644,3.630,3.497,3.436,3.433,3.623,3.440,3.610,28.130,23.6,23.3,23.6,23.7,0.0,99.73,99.73,99.73,99.73,99.73,99.73,99.73,99.75,99.75,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523719.1664739,3.643,3.630,3.496,3.436,3.433,3.622,3.440,3.609,28.140,24.1,23.3,23.8,23.9,0.0,99.72,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523720.1725104,3.643,3.630,3.497,3.436,3.433,3.622,3.440,3.609,28.150,23.8,23.6,23.7,23.7,0.0,99.69,99.69,99.69,99.69,99.69,99.69,99.69,99.69,99.69,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523721.1797433,3.642,3.630,3.496,3.436,3.433,3.621,3.440,3.608,28.130,23.3,23.8,23.8,24.1,0.0,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523722.1959908,3.642,3.630,3.496,3.436,3.433,3.620,3.440,3.607,28.130,24.0,23.5,23.7,23.3,0.0,99.64,99.66,99.66,99.65,99.65,99.65,99.65,99.65,99.65,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523723.1997359,3.642,3.630,3.496,3.436,3.433,3.620,3.440,3.606,28.120,23.8,23.3,24.3,24.1,0.0,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.62,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523724.2129705,3.641,3.630,3.496,3.436,3.433,3.620,3.440,3.606,28.130,24.3,23.7,23.4,23.9,0.0,99.61,99.61,99.61,99.61,99.61,99.59,99.59,99.59,99.59,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523725.2226121,3.640,3.630,3.495,3.436,3.433,3.618,3.440,3.606,28.130,24.1,23.9,23.4,24.0,0.0,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523726.2332957,3.640,3.630,3.495,3.436,3.433,3.618,3.440,3.605,28.120,24.0,24.0,23.3,23.3,0.0,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523727.2351184,3.640,3.630,3.495,3.436,3.433,3.618,3.440,3.604,28.150,24.4,23.7,24.4,23.8,0.0,99.53,99.53,99.53,99.53,99.53,99.53,99.53,99.54,99.54,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523728.2363613,3.640,3.630,3.495,3.436,3.433,3.617,3.440,3.603,28.120,24.1,23.5,23.3,24.1,0.0,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,99.51,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523729.251063,3.637,3.626,3.494,3.436,3.433,3.614,3.440,3.599,28.100,23.7,23.7,23.7,23.3,0.0,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.49,99.48,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
1737523730.2659914,3.632,3.620,3.493,3.436,3.433,3.606,3.440,3.592,28.080,23.5,23.3,24.0,24.1,0.0,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,99.47,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000.000,0.000,2500.000,0.000,0.000,5000.000,0.000,7500.000,32805,0
