time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box_Counter,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,CB_bits,controlBits,Cali_bits,SOC_box_cal,SOC_box_show
1739841012.2671885,2.820,2.842,2.839,2.771,2.752,2.831,2.747,2.826,22.340,28.0,28.2,28.4,28.5,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,33.000,66.000,133.000,133.000,100.000,133.000,66.000,0,0,0,0.00,0.00
1739841013.2691956,2.820,2.842,2.839,2.771,2.752,2.830,2.747,2.826,22.330,28.2,28.1,28.4,28.6,9.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,33.000,66.000,133.000,133.000,100.000,133.000,66.000,0,0,0,0.00,0.00
1739841014.290419,2.825,2.846,2.842,2.775,2.757,2.834,2.752,2.830,22.370,28.2,28.1,28.4,28.6,9.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,33.000,66.000,133.000,133.000,100.000,133.000,66.000,0,0,64,0.00,0.00
1739841015.2961385,2.825,2.846,2.842,2.775,2.757,2.834,2.752,2.830,22.370,28.2,28.2,28.4,28.5,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.000,66.000,0,0,64,0.00,0.00
1739841016.3065531,2.823,2.847,2.844,2.776,2.758,2.835,2.752,2.829,22.350,28.1,28.2,28.4,28.5,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,64,0.00,0.00
1739841017.3119292,2.826,2.846,2.844,2.776,2.758,2.835,2.752,2.829,22.350,28.1,28.2,28.4,28.5,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,64,0.00,0.00
1739841018.3147461,2.826,2.846,2.844,2.777,2.757,2.836,2.753,2.830,22.370,28.2,28.2,28.4,28.6,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,64,0.00,0.00
1739841019.3246834,2.826,2.847,2.845,2.777,2.759,2.836,2.754,2.832,22.370,28.2,28.2,28.4,28.6,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,600.000,600.000,400.000,400.000,0,0,64,0.00,0.00
1739841020.3410206,2.826,2.847,2.845,2.777,2.759,2.836,2.754,2.832,22.370,28.0,28.1,28.5,28.5,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,600.000,0.000,400.000,600.000,600.000,400.000,400.000,0,0,64,0.00,0.00
1739841021.3438466,2.826,2.848,2.846,2.778,2.759,2.837,2.755,2.832,22.380,28.2,28.2,28.4,28.5,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,600.000,400.000,400.000,600.000,600.000,400.000,400.000,0,0,64,0.00,0.00
1739841022.3521402,2.826,2.848,2.846,2.778,2.759,2.837,2.755,2.832,22.380,28.2,28.2,28.4,28.5,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,600.000,400.000,400.000,600.000,600.000,400.000,400.000,0,0,64,0.00,0.00
1739841023.360012,2.827,2.848,2.846,2.779,2.759,2.838,2.756,2.833,22.380,28.1,28.2,28.4,28.6,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,600.000,400.000,400.000,600.000,600.000,400.000,400.000,0,0,64,0.00,0.00
1739841024.3647778,2.828,2.850,2.847,2.780,2.761,2.838,2.756,2.833,22.380,28.1,28.2,28.4,28.6,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,600.000,200.000,200.000,400.000,400.000,200.000,0,0,0,0.00,0.00
1739841025.3738394,2.828,2.850,2.847,2.780,2.761,2.838,2.756,2.833,22.400,28.1,28.2,28.4,28.6,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,600.000,200.000,200.000,400.000,400.000,200.000,0,0,0,0.00,0.00
1739841026.384597,2.829,2.849,2.847,2.780,2.760,2.838,2.757,2.834,22.400,28.1,28.2,28.4,28.6,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,600.000,200.000,200.000,400.000,400.000,200.000,0,0,0,0.01,0.01
1739841027.3915474,2.829,2.849,2.847,2.780,2.760,2.838,2.757,2.834,22.400,28.1,28.2,28.4,28.6,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,600.000,200.000,200.000,400.000,400.000,200.000,0,0,0,0.01,0.01
1739841028.3962255,2.829,2.850,2.848,2.780,2.762,2.839,2.758,2.834,22.390,28.1,28.3,28.4,28.5,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,200.000,600.000,200.000,200.000,400.000,400.000,200.000,0,0,0,0.01,0.01
1739841029.3971486,2.829,2.850,2.848,2.780,2.762,2.839,2.758,2.834,22.390,28.1,28.3,28.4,28.5,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,200.000,400.000,0.000,400.000,400.000,200.000,200.000,0,0,0,0.01,0.01
1739841030.4123302,2.829,2.850,2.847,2.781,2.762,2.840,2.758,2.835,22.400,28.1,28.3,28.4,28.5,10.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,200.000,400.000,0.000,400.000,400.000,200.000,200.000,0,0,0,0.01,0.01
