time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box_Counter,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,CB_bits,controlBits,Cali_bits,SOC_box_cal,SOC_box_show
1740031910.8102045,3.278,3.280,3.280,3.279,3.280,3.281,3.279,3.277,26.120,42.3,42.5,43.5,43.5,0.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,451.000,64.000,193.000,129.000,322.000,258.000,193.000,258.000,0,1,0,100.00,100.00
1740031911.8141146,3.279,3.280,3.280,3.279,3.280,3.281,3.279,3.277,26.120,42.3,42.5,43.5,43.5,0.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,451.000,64.000,193.000,129.000,322.000,258.000,193.000,258.000,0,1,0,100.00,100.00
1740031912.826424,3.279,3.280,3.280,3.280,3.281,3.281,3.280,3.278,26.120,42.3,42.4,43.6,43.5,0.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,451.000,64.000,193.000,129.000,322.000,258.000,193.000,258.000,0,1,0,100.00,100.00
1740031913.828425,3.279,3.281,3.280,3.280,3.281,3.281,3.281,3.278,26.130,42.3,42.4,43.6,43.5,0.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,451.000,64.000,193.000,129.000,322.000,258.000,193.000,258.000,0,1,0,100.00,100.00
1740031914.8424938,3.279,3.281,3.280,3.280,3.281,3.281,3.281,3.278,26.130,42.3,42.4,43.6,43.6,0.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,451.000,64.000,193.000,129.000,322.000,258.000,193.000,258.000,0,1,0,100.00,100.00
1740031915.8437536,3.279,3.282,3.281,3.280,3.281,3.281,3.281,3.277,26.140,42.2,42.4,43.6,43.5,0.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,451.000,64.000,193.000,129.000,322.000,258.000,193.000,258.000,0,1,0,100.00,100.00
1740031916.8454669,3.278,3.279,3.278,3.279,3.280,3.280,3.279,3.277,26.110,42.2,42.4,43.6,43.5,-10.0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,451.000,64.000,193.000,129.000,322.000,258.000,193.000,258.000,0,1,0,99.99,99.99
1740031917.8586226,3.278,3.279,3.278,3.279,3.280,3.280,3.279,3.277,26.110,42.2,42.4,43.6,43.5,-10.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,99.99,99.99
1740031918.8600645,3.277,3.281,3.279,3.280,3.280,3.280,3.279,3.276,26.120,42.3,42.4,43.5,43.5,-10.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,99.99,99.99
1740031919.8718524,3.278,3.279,3.281,3.279,3.279,3.281,3.280,3.277,26.120,42.3,42.4,43.5,43.5,-10.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,99.99,99.99
1740031920.877543,3.278,3.279,3.281,3.279,3.279,3.281,3.280,3.277,26.120,42.3,42.5,43.5,43.5,-10.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,99.99,99.99
1740031921.8930233,3.279,3.280,3.280,3.279,3.281,3.281,3.281,3.278,26.120,42.3,42.4,43.5,43.5,-10.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,1,0,99.99,99.99
1740031922.9091353,3.277,3.279,3.281,3.279,3.280,3.278,3.278,3.276,26.100,42.3,42.4,43.5,43.5,-10.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,200.000,0.000,0.000,0.000,200.000,0.000,0.000,0,1,0,99.99,99.99
1740031923.9104435,3.277,3.279,3.281,3.279,3.280,3.278,3.278,3.276,26.100,42.2,42.5,43.5,43.5,-30.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,200.000,0.000,0.000,0.000,200.000,0.000,0.000,0,1,0,99.99,99.99
1740031924.9165282,3.276,3.275,3.277,3.275,3.277,3.277,3.276,3.273,26.090,42.2,42.4,43.5,43.5,-30.0,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,200.000,0.000,0.000,0.000,200.000,0.000,0.000,0,1,0,99.99,99.99
1740031925.9174252,3.267,3.268,3.267,3.267,3.268,3.268,3.267,3.265,26.010,42.2,42.4,43.5,43.5,-30.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,200.000,0.000,0.000,0.000,200.000,0.000,0.000,0,1,0,99.98,99.98
1740031926.9299405,3.267,3.268,3.267,3.267,3.268,3.268,3.267,3.265,26.010,42.2,42.4,43.5,43.5,-70.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,0.000,200.000,0.000,0.000,0.000,200.000,0.000,0.000,0,1,0,99.98,99.98
1740031927.9308155,3.266,3.268,3.267,3.267,3.267,3.268,3.267,3.265,26.020,42.2,42.4,43.5,43.5,-70.0,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,578.000,631.000,736.000,684.000,631.000,684.000,684.000,684.000,0,1,0,99.97,99.97
1740031928.9469984,3.267,3.268,3.267,3.267,3.267,3.268,3.267,3.265,26.020,42.2,42.4,43.5,43.5,-70.0,99.97,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,578.000,631.000,736.000,684.000,631.000,684.000,684.000,684.000,0,1,0,99.96,99.96
1740031929.9489477,3.267,3.267,3.267,3.267,3.259,3.259,3.261,3.255,25.980,42.3,42.3,43.5,43.5,-120.0,99.96,99.96,99.96,99.96,99.96,99.95,99.95,99.95,99.95,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,578.000,631.000,736.000,684.000,631.000,684.000,684.000,684.000,0,1,0,99.96,99.96
1740031930.954112,3.256,3.256,3.256,3.255,3.256,3.256,3.254,3.253,25.920,42.3,42.3,43.5,43.5,-120.0,99.96,99.96,99.96,99.96,99.96,99.95,99.95,99.95,99.95,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,578.000,631.000,736.000,684.000,631.000,684.000,684.000,684.000,0,1,0,99.95,99.95
1740031931.9683363,3.256,3.256,3.256,3.255,3.256,3.256,3.254,3.253,25.920,42.2,42.4,43.4,43.5,-120.0,99.94,99.94,99.94,99.94,99.94,99.94,99.94,99.94,99.94,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,220.000,240.000,240.000,240.000,240.000,240.000,240.000,684.000,0,1,0,99.95,99.95
1740031932.9701166,3.255,3.255,3.255,3.255,3.255,3.255,3.254,3.253,25.920,42.2,42.3,43.4,43.4,-147.8,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,220.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,0,1,0,99.93,99.93
1740031933.9810536,3.248,3.247,3.247,3.247,3.248,3.248,3.247,3.246,25.870,42.2,42.3,43.4,43.4,-147.8,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,220.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,0,1,0,99.91,99.91
1740031934.9884872,3.248,3.247,3.247,3.247,3.248,3.248,3.247,3.246,25.870,42.2,42.4,43.5,43.4,-150.0,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.89,99.89,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,220.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,0,1,0,99.91,99.91
1740031936.0053697,3.248,3.248,3.248,3.246,3.247,3.248,3.247,3.245,25.860,42.2,42.3,43.5,43.4,-150.0,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.89,99.89,0.093,0.280,0.193,0.233,0.206,0.146,0.260,0.133,220.000,240.000,240.000,240.000,240.000,240.000,240.000,240.000,0,1,0,99.89,99.89
