time,cell1Vol,cell2Vol,cell3Vol,cell4Vol,cell5Vol,cell6Vol,cell7Vol,cell8Vol,stackVol,ts1,ts2,ts3,ts4,current,SOC_box_Counter,SOC_cell1,SOC_cell2,SOC_cell3,SOC_cell4,SOC_cell5,SOC_cell6,SOC_cell7,SOC_cell8,r_cell1,r_cell2,r_cell3,r_cell4,r_cell5,r_cell6,r_cell7,r_cell8,dVdC1,dVdC2,dVdC3,dVdC4,dVdC5,dVdC6,dVdC7,dVdC8,CB_bits,controlBits,Cali_bits,SOC_box_cal,SOC_box_show
1740122605.8320892,2.900,2.924,2.917,2.862,2.840,2.911,2.840,2.910,22.990,40.0,40.2,40.9,41.0,150.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.000,160.000,120.000,173.000,186.000,146.000,200.000,146.000,0,1,0,0.16,0.16
1740122606.8341472,2.900,2.924,2.921,2.867,2.844,2.915,2.844,2.913,23.030,40.0,40.2,41.0,40.9,150.0,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.000,160.000,120.000,173.000,186.000,146.000,200.000,146.000,0,1,0,0.16,0.16
1740122607.8423755,2.903,2.929,2.924,2.870,2.848,2.918,2.848,2.917,23.050,40.0,40.2,41.0,40.9,150.0,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.000,160.000,120.000,173.000,186.000,146.000,200.000,146.000,0,1,0,0.18,0.18
1740122608.852441,2.903,2.929,2.924,2.870,2.848,2.918,2.848,2.917,23.050,40.0,40.2,41.0,41.0,150.0,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.000,160.000,120.000,173.000,186.000,146.000,200.000,146.000,0,1,0,0.18,0.18
1740122609.8652663,2.907,2.932,2.927,2.875,2.854,2.921,2.854,2.920,23.090,40.1,40.2,41.0,41.0,150.0,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,133.000,160.000,120.000,173.000,186.000,146.000,200.000,146.000,0,1,0,0.21,0.21
1740122610.8813627,2.911,2.936,2.927,2.875,2.854,2.921,2.854,2.920,23.090,40.1,40.2,41.0,41.0,150.0,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,133.000,120.000,146.000,160.000,120.000,173.000,120.000,0,1,0,0.23,0.23
1740122611.8969913,2.911,2.936,2.931,2.879,2.857,2.924,2.859,2.923,23.110,40.1,40.1,41.0,41.0,150.0,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,133.000,120.000,146.000,160.000,120.000,173.000,120.000,0,1,0,0.23,0.23
1740122612.9005601,2.914,2.939,2.935,2.883,2.862,2.928,2.863,2.927,23.150,40.1,40.1,41.0,41.0,150.0,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,133.000,120.000,146.000,160.000,120.000,173.000,120.000,0,1,0,0.25,0.25
1740122613.916148,2.914,2.939,2.935,2.883,2.862,2.928,2.863,2.927,23.150,40.0,40.2,41.0,41.0,150.0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,133.000,120.000,146.000,160.000,120.000,173.000,120.000,0,1,0,0.25,0.25
1740122614.9185078,2.917,2.943,2.937,2.887,2.866,2.932,2.866,2.929,23.190,40.1,40.2,41.0,41.0,150.0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,133.000,120.000,146.000,160.000,120.000,173.000,120.000,0,1,0,0.27,0.27
1740122615.9210458,2.917,2.943,2.937,2.887,2.866,2.932,2.866,2.929,23.190,40.1,40.2,41.0,41.0,150.0,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,106.000,120.000,133.000,173.000,120.000,160.000,120.000,0,1,0,0.29,0.27
1740122616.927156,2.922,2.946,2.941,2.891,2.870,2.935,2.871,2.934,23.210,40.0,40.2,41.0,41.1,150.0,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.29,0.29,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,106.000,120.000,133.000,173.000,120.000,160.000,120.000,0,1,0,0.29,0.29
1740122617.9407015,2.926,2.949,2.944,2.894,2.875,2.938,2.876,2.934,23.210,40.0,40.2,41.0,41.1,150.0,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,106.000,120.000,133.000,173.000,120.000,160.000,120.000,0,1,0,0.32,0.32
1740122618.946026,2.926,2.949,2.944,2.894,2.875,2.938,2.876,2.937,23.230,40.1,40.2,41.0,41.1,150.0,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120.000,106.000,120.000,133.000,173.000,120.000,160.000,120.000,0,1,0,0.32,0.32
